ID,Requirement,Status,Description,Category,Priority,Realisation Phase,Responsibility,Remarks,Note,Reference,Depends,Derived from specification
PLTREQ-011,Usage metrics,CLOSED 2026.05.28,"Provide statistics on dataset access, downloads, and views per record",Feature,COULD HAVE,Roll-out,NRP infrastructure,Built-in — InvenioRDM tracks view and download counts per record via invenio-stats,Helps assess dataset impact and usage patterns,InvenioRDM statistics docs; invenio-stats package,,Row 15: Usage metrics
PLTREQ-012,Advanced search infrastructure,CLOSED 2026.05.28,"Platform-level support for complex queries — boolean operators, range filters, and nested field queries — via OpenSearch",Search,COULD HAVE,Roll-out,NRP infrastructure,Built-in — InvenioRDM/NRP exposes OpenSearch query DSL; complex queries supported via API,Improves discovery for complex queries beyond basic field filtering,InvenioRDM search docs; OpenSearch query DSL,PLTREQ-007,Row 16: Advanced search
PLTREQ-013,Dataset versioning,CLOSED 2026.05.28,Support multiple versions of a record with distinct persistent identifiers and a navigable version history,Feature,MUST HAVE,Initial release,NRP infrastructure,Built-in — InvenioRDM supports record versioning; each version receives a distinct DOI; version history is displayed on the record landing page,Allows updates while preserving previous versions for citation,InvenioRDM versioning docs,PLTREQ-002,Row 19: Dataset versioning
PLTREQ-014,Format-agnostic file storage,CLOSED 2026.05.28,Store and serve files of any format without format-specific constraints,Feature,MUST HAVE,Initial release,NRP infrastructure,"Built-in — InvenioRDM stores files as binary objects with no format restrictions; file type identified by MIME type and filename extension. File deduplication is not supported — invenio-files-rest does not implement content-addressable storage, so identical files uploaded separately are stored as distinct physical copies.",Reflects the variety of data formats produced in materials science workflows,InvenioRDM files docs; invenio-files-rest,,Row 20: Support for heterogeneous data types
PLTREQ-015,Large dataset support,CLOSED 2026.05.28,Enable storage and access for datasets at GB–TB scale,Feature,SHOULD HAVE,Initial release,NRP infrastructure,Supported via S3-compatible object storage backend; multipart upload supported; practical size limits depend on NRP instance configuration and storage quota,Required for instrument and simulation data typical in materials science,NRP storage configuration docs; invenio-s3 package,,Row 21: Large dataset support
PLTREQ-016,Community and collection structure,CLOSED 2026.05.28,"Support organization of records into communities with distinct governance policies, curation roles, and access rules",Feature,MUST HAVE,Initial release,NRP infrastructure,"Built-in — InvenioRDM communities provide owner/curator/reader roles, submission review workflows, and community-scoped search","Enables domain-specific governance, curation, and access control",InvenioRDM communities docs,"PLTREQ-004, PLTREQ-005",Row 25: Community and collection structure
PLTREQ-017,Collaborative dataset management,CLOSED 2026.05.28,Allow multiple users to contribute to and edit Activity records with defined roles and shared ownership,Feature,MUST HAVE,Initial release,NRP infrastructure,Built-in — InvenioRDM supports shared record ownership and community curator roles; multiple users can be granted edit access to a record,Supports team-based research workflows and shared responsibility for dataset curation,InvenioRDM access and ownership docs,"PLTREQ-005, PLTREQ-016",Row 27: Collaborative dataset management
PLTREQ-018,Publish state machine,CLOSED 2026.05.28,Platform-level draft/publish workflow with state transitions and pre-publish validation hooks,Feature,MUST HAVE,Initial release,NRP infrastructure,Built-in — InvenioRDM draft/publish state machine supports pre-publish validators; curator review step available via community submission workflow,"Ensures controlled, validated publication of Activity records",InvenioRDM draft/publish docs; InvenioRDM communities submission workflow,PLTREQ-016,Row 28: Structured submission workflow (auto-check + curator review)
PLTREQ-019,Inter-record PID linking,OPEN,Platform support for establishing typed persistent identifier relationships between records,Feature,MUST HAVE,Initial release,NRP infrastructure,Provided via oarepo pid-relation package; currently functional. Known limitation: pid-relations require the target record to be in registered (published) state — linking to draft records is not supported; this is an upstream oarepo issue deferred to summer 2027. Linked records must be stored in the same repository — cross-repository PID linking is not supported. Export to CCMM is not automatically supported; explicit mapping to related_resource or provenance fields is required depending on use case (CESNET NRP-CZ Discussion #15).,Enables inter-record provenance chains and hierarchical structures between Activity records; required for parent_activities linking to function,oarepo-runtime pid-relation docs,PLTREQ-021,Row 11: Hierarchical dataset structure
PLTREQ-020,Hierarchical records,OPEN,Platform support for hierarchical publishing of related records with parent/child publishing semantics propagating through the hierarchy,Feature,SHOULD HAVE,Roll-out,NRP infrastructure,"NRP hierarchical records support is planned for approximately November 2026; not yet available. Distinct from PID linking (PLTREQ-019) — hierarchical records govern publishing lifecycle propagation, not just identifier resolution. Confirmed ""not yet implemented in CESNET Invenio repositories"" by CESNET authors (CESNET NRP-CZ Discussion #15, Miroslav Šimek, CESNET). Export to CCMM is not automatically supported — mapping may split across related_resource and provenance fields depending on use case.",Enables structured hierarchical data publication where parent record state governs child record visibility,NRP development roadmap (word of mouth),PLTREQ-019,Row 11: Hierarchical dataset structure
PLTREQ-021,Reproducible installation from official release,OPEN,NRP InvenioRDM and all dependencies can be installed and built from official upstream release packages without local patches,Feature,MUST HAVE,Initial release,NRP infrastructure,Current state: at least one component (API ingestion endpoint) requires a local patch to function. Community packaging process and release schedule are not publicly documented and are opaque to DANTEc developers. This is an implicit infrastructure dependency of all platform requirements.,Prerequisite for reliable and maintainable deployment; local patches introduce maintenance burden and are not sustainable,(internal observation),,Cross-cutting infrastructure dependency
PLTREQ-022,Record copy/clone for data reuse,OPEN,"Platform support for creating a new draft record from an existing published record, preserving metadata for adaptation and reuse",Feature,SHOULD HAVE,Roll-out,NRP infrastructure,Whether this is available as a built-in NRP feature or requires custom implementation is not yet confirmed; requires investigation before closure.,Enables data reuse workflows where researchers adapt existing datasets for new experiments without re-entering metadata,InvenioRDM draft system docs,PLTREQ-018,Row 17: Data reuse support
PLTREQ-023,External resource linking,CLOSED 2026.09.03,"Platform support for linking records to external or internal resources via the CCMM related_resource field, with typed relation types from the vocabs.ccmm.cz registry",Integration,MUST HAVE,Initial release,NRP infrastructure,"Built-in — CESNET Invenio implements related_resource as the standard mechanism for linking records to external or internal resources. Supports typed relation types (IsDerivedFrom, IsPartOf, HasPart, etc.) from the vocabs.ccmm.cz registry; maps automatically to CCMM 1.1.0 export. Known limitation: all related resources are stored in a single flat list with no mechanism to group links by context or type. A vocabulary of controlled external repository targets is not natively supported — any URL is valid, so identifier decomposition for machine-to-machine federation (e.g. OPTIMADE, MC4EU) requires additional per-platform integration work (see DANREQ-005). (CESNET NRP-CZ Discussion #15, Miroslav Šimek, CESNET)",Provides the linking layer for publication/software references (DANREQ-010) and discovery-level external platform interoperability (DANREQ-005); the latter requires additional exchange protocol work beyond linking,CESNET NRP-CZ Discussion #15; CCMM related_resource field specification; vocabs.ccmm.cz registry,PLTREQ-006,Row 14: Interoperability with domain platforms; Row 22: Linking datasets to publications and software
PLTREQ-024,Hierarchical vocabulary support,OPEN,"Platform-level support for vocabulary terms with parent/child relationships, enabling nested term hierarchies via parent_id or equivalent fields in the NRP vocabulary service",Feature,SHOULD HAVE,Initial release,NRP infrastructure,"Not yet verified through testing. InvenioRDM vocabulary service nominally supports hierarchy.parent_id and hierarchy.level fields, but whether this is reliably functional in the NRP/oarepo environment is unknown. This is a design-informing requirement — if hierarchy is supported, DANTEc controlled vocabularies can use nested structures for faceted navigation; if not, flat vocabulary design is required.",Required to inform vocabulary term depth and facet hierarchy design decisions in DANTEc,InvenioRDM vocabulary service docs,,Not derived from original specification; added 2026-09-14 for DANTEc vocabulary design purposes
